reference,title,count
17605,2,GERMANUS Regnart
3088,2,GILBERTUS de Grenlaw
3180,2,GISO Duysse de Ratynghen
3277,2,GODEFRIDUS Florencii de Kalkar
17666,2,GUEROLDUS Boisselli
3329,2,GUIDO Boucaceon
22316,2,GUIDO Bridart
17650,2,GUIDO Cointerel
17636,2,GUIDO Dinel
17686,2,GUILLELMUS Andree 2
3456,2,GUILLELMUS Bachelier
3740,2,GUILLELMUS Bigan
17680,2,GUILLELMUS Bonnelli
17746,2,GUILLELMUS Boulay
17745,2,GUILLELMUS Bourdin 2
3772,2,GUILLELMUS Burgensis 3
17732,2,GUILLELMUS Clyfe
17774,2,GUILLELMUS Estocart
17796,2,GUILLELMUS Fabri 10
12277,2,GUILLELMUS Falkland
3868,2,GUILLELMUS Felicis
12606,2,GUILLELMUS Galoisii
17878,2,GUILLELMUS Heredis
17854,2,GUILLELMUS Huberti 1
12575,2,GUILLELMUS Levraudi
17948,2,GUILLELMUS Michaelis 1
17953,2,GUILLELMUS Michaelis 2
17946,2,GUILLELMUS Monneti
4012,2,GUILLELMUS Noeleti
23880,2,GUILLELMUS Oliverii de Sancto Matheo
4033,2,GUILLELMUS Pelliparii
4043,2,GUILLELMUS Portharii
24901,2,GUILLELMUS Quittet
12296,2,GUILLELMUS Tauwe
18037,2,GUILLELMUS Tison
4114,2,GUILLELMUS Turelli
17949,2,GUILLELMUS Viandier
3561,2,GUILLELMUS de Apostolatu
17684,2,GUILLELMUS de Bellovisu
17777,2,GUILLELMUS de Gardino 3
4271,2,GUILLELMUS de Kaer 1
3697,2,GUILLELMUS de La Voûte
23357,2,GUILLELMUS de Lugduno
21880,2,GUILLELMUS de Martigniaco
18038,2,GUILLELMUS de Menipeni
4367,2,GUILLELMUS de Roede
12614,2,GUISCHARDUS de Sancto=Romano
1116,2,HAIMERICUS Mathaei
16184,2,HAIMERICUS de Cosduno
4508,2,HARDEWICUS de Mesonde
24815,2,HARPIN Bajonel
25789,2,HARTMANNUS de Maguncia
4512,2,HARTMUNUS de Maguncia
26174,2,HARTWICUS de Mesonde
18169,2,HELBINUS de Vaucelles
4572,2,HENRICUS Dalami
4732,2,HENRICUS Herout
4579,2,HENRICUS Laufenberg
4754,2,HENRICUS Lovenscheide
4755,2,HENRICUS Ludenschede
25763,2,HENRICUS Vavassoris
4857,2,HENRICUS de Augo
15013,2,HERMANNUS de Braklis
5029,2,HERMANNUS de Hassia
5074,2,HERMANNUS de Treysa
18145,2,HUGO Galcheri
13281,2,HUGO Majoris
5224,2,HUGO Sequini
18170,2,HUGO de Claveriis
18148,2,HUGO de Mice
13284,2,HUMBERTUS Leonardi
24880,2,HUTINUS Le Mire
25761,2,HUTINUS de Garrezis
24319,2,INGEMUNDUS Jarleri
17480,2,IVO Johannis
17481,2,IVO Juvenis
17477,2,IVO de Ponto
13287,2,JACOBUS Bacler
5307,2,JACOBUS Broifon
5586,2,JACOBUS Cadoti
5587,2,JACOBUS Camus
18225,2,JACOBUS Fournier
18232,2,JACOBUS Germani
5596,2,JACOBUS Jacobi
26335,2,JACOBUS Jacobi de Cracovia
18287,2,JACOBUS Languort
5398,2,JACOBUS Mathei 1
18236,2,JACOBUS Oculi
5605,2,JACOBUS Perchet
18226,2,JACOBUS Prepositi
5631,2,JACOBUS de Hersele
18234,2,JACOBUS de Langelerie
22174,2,JOHANNES Acuti 1
25921,2,JOHANNES Almani
5674,2,JOHANNES Arnaudi 1
22190,2,JOHANNES Auberti 1
6399,2,JOHANNES Aurifaber
5682,2,JOHANNES Avis 1
22246,2,JOHANNES Baers
6409,2,JOHANNES Baillivi
6410,2,JOHANNES Balbini
6438,2,JOHANNES Baudeel
6449,2,JOHANNES Bebel
22261,2,JOHANNES Berterii 1
25884,2,JOHANNES Betti
22320,2,JOHANNES Boisz de Waldeck
22322,2,JOHANNES Bouillier
22283,2,JOHANNES Britonis 5
25455,2,JOHANNES Brunel 1
6598,2,JOHANNES Caillaudi de Quercu
5752,2,JOHANNES Clément de Marie
15193,2,JOHANNES Coenoet
5755,2,JOHANNES Coifferi
22444,2,JOHANNES Courtin 4
22413,2,JOHANNES Cucumeris
22487,2,JOHANNES Daguet
22476,2,JOHANNES Dalanjoye
6783,2,JOHANNES Fabri 11
5785,2,JOHANNES Fisseti
25917,2,JOHANNES Fourrati
15230,2,JOHANNES Fulonis de Quercu
5795,2,JOHANNES Goberti
12602,2,JOHANNES Grison
6963,2,JOHANNES Henrici 1
6962,2,JOHANNES Henrici 5
21504,2,JOHANNES Hildebrandi
5834,2,JOHANNES Ivelini
24639,2,JOHANNES Jayer
23342,2,JOHANNES Joculatoris
5837,2,JOHANNES Johannis 2
24070,2,JOHANNES Johannis 3
20280,2,JOHANNES Louchardi junior
7138,2,JOHANNES Louchardi senior
15320,2,JOHANNES Martini de Etuvayn
7187,2,JOHANNES Mathie 3
13419,2,JOHANNES Moraine
7249,2,JOHANNES Moriseti
23977,2,JOHANNES Musart 1
